country,date,employment
Canada,2023,61.651
Canada,2022,61.568
Canada,2021,60.17
Canada,2020,57.836
Canada,2019,61.971
Canada,2018,61.59
Canada,2017,61.532
Canada,2016,61.084
Canada,2015,61.264
Canada,2014,61.358
Canada,2013,61.715
Canada,2012,61.586
Canada,2011,61.613
Canada,2010,61.437
Canada,2009,61.414
Canada,2008,63.317
Canada,2007,63.286
Canada,2006,62.677
Canada,2005,62.601
Canada,2004,62.637
Canada,2003,62.446
Canada,2002,61.739
Canada,2001,61.151
Canada,2000,61.269
Canada,1999,60.563
Canada,1998,59.737
Canada,1997,58.967
Canada,1996,58.449
Canada,1995,58.669
Canada,1994,58.383
Canada,1993,57.904
Canada,1992,58.342
Canada,1991,59.709
Mexico,2023,59.782
Mexico,2022,59.013
Mexico,2021,57.486
Mexico,2020,53.977
Mexico,2019,59.038
Mexico,2018,58.506
Mexico,2017,58.207
Mexico,2016,58.163
Mexico,2015,58.006
Mexico,2014,57.587
Mexico,2013,58.054
Mexico,2012,58.252
Mexico,2011,57.434
Mexico,2010,57.269
Mexico,2009,57.401
Mexico,2008,58.395
Mexico,2007,58.819
Mexico,2006,58.813
Mexico,2005,58.089
Mexico,2004,57.136
Mexico,2003,56.87
Mexico,2002,56.787
Mexico,2001,57.469
Mexico,2000,58.066
Mexico,1999,58.214
Mexico,1998,58.276
Mexico,1997,58.253
Mexico,1996,56.253
Mexico,1995,55.221
Mexico,1994,56.736
Mexico,1993,57.342
Mexico,1992,56.868
Mexico,1991,56.435
United States,2023,59.6
United States,2022,59.266
United States,2021,57.946
United States,2020,56.38
United States,2019,60.329
United States,2018,59.94
United States,2017,59.59
United States,2016,59.181
United States,2015,58.785
United States,2014,58.351
United States,2013,57.845
United States,2012,57.752
United States,2011,57.326
United States,2010,57.369
United States,2009,58.2
United States,2008,61.005
United States,2007,61.752
United States,2006,61.921
United States,2005,61.516
United States,2004,61.164
United States,2003,61.066
United States,2002,61.548
United States,2001,62.519
United States,2000,63.297
United States,1999,63.032
United States,1998,62.777
United States,1997,62.514
United States,1996,61.899
United States,1995,61.613
United States,1994,61.22
United States,1993,60.412
United States,1992,60.119
United States,1991,60.343
