country,date,ppp
Canada,2023,55817.8974279144
Canada,2022,56872.6053482353
Canada,2021,55781.6990272912
Canada,2020,53274.9109302286
Canada,2019,56713.0888767094
Canada,2018,56470.4592673931
Canada,2017,55756.2624817832
Canada,2016,54765.3037720868
Canada,2015,54819.1890353874
Canada,2014,54880.8582018562
Canada,2013,53884.8455875649
Canada,2012,53217.7135831819
Canada,2011,52869.3878559359
Canada,2010,51763.6758102969
Canada,2009,50772.8699217538
Canada,2008,52899.4754504882
Canada,2007,52948.8994271698
Canada,2006,52391.3792619498
Canada,2005,51564.8455651212
Canada,2004,50436.294842704
Canada,2003,49381.5950355437
Canada,2002,48943.5412414992
Canada,2001,48036.6266178082
Canada,2000,47667.4330856329
Canada,1999,45761.9298921855
Canada,1998,43879.5681195652
Canada,1997,42587.366207601
Canada,1996,41247.253308077
Canada,1995,40988.3989180628
Canada,1994,40332.8762087397
Canada,1993,39023.3258286354
Canada,1992,38433.0912733363
Canada,1991,38547.4652657194
Canada,1990,39863.0660385958
Mexico,2023,22366.6578892324
Mexico,2022,21828.7656030591
Mexico,2021,21131.9157582539
Mexico,2020,20097.0517106926
Mexico,2019,22154.4630277626
Mexico,2018,22402.1769525804
Mexico,2017,22179.0010168218
Mexico,2016,22007.9967503775
Mexico,2015,21871.1527211862
Mexico,2014,21545.6529201176
Mexico,2013,21281.9525130063
Mexico,2012,21381.9285493769
Mexico,2011,20938.6524686801
Mexico,2010,20532.5739028906
Mexico,2009,19821.3821697595
Mexico,2008,21416.2506450462
Mexico,2007,21486.7456679494
Mexico,2006,21328.2593765965
Mexico,2005,20629.1863601669
Mexico,2004,20493.1303688602
Mexico,2003,20080.5713594812
Mexico,2002,20142.6816828829
Mexico,2001,20499.7822855995
Mexico,2000,20912.6099397325
Mexico,1999,20229.2345044025
Mexico,1998,20012.4918461903
Mexico,1997,19167.2135442821
Mexico,1996,18191.7362993579
Mexico,1995,17434.555777597
Mexico,1994,18876.9929863052
Mexico,1993,18430.0961702079
Mexico,1992,18265.3633446043
Mexico,1991,17983.3350350737
Mexico,1990,17640.9028664897
United States,2023,73637.3027885905
United States,2022,72165.4834696586
United States,2021,71055.87619383
United States,2020,67266.187874108
United States,2019,69458.6101827166
United States,2018,68095.6868059923
United States,2017,66482.8934392041
United States,2016,65299.9993837591
United States,2015,64599.5737360527
United States,2014,63214.8953462352
United States,2013,62112.583447369
United States,2012,61247.3170720931
United States,2011,60317.5425206572
United States,2010,59821.6650811366
United States,2009,58736.9461328153
United States,2008,60821.1859611643
United States,2007,61329.5392265213
United States,2006,60699.2720850035
United States,2005,59627.0590559421
United States,2004,58153.3878283911
United States,2003,56519.3507123652
United States,2002,55456.8624028822
United States,2001,55037.8936729664
United States,2000,55059.2191687802
United States,1999,53494.0566028874
United States,1998,51639.1871337683
United States,1997,50002.9748720618
United States,1996,48453.8258145334
United States,1995,47238.6290898533
United States,1994,46554.7724569344
United States,1993,45303.8828831126
United States,1992,44675.8639074727
United States,1991,43758.395353687
United States,1990,44395.1314543953
